name,count
remember,2
goliath,77
six,72
flags,72
great,19
america,21
teh,2
sfgam,2
zones,2
found,2
one,2
station,2
songs,2
http,39
co,41
zrzijwqdva,2
wanna,2
go,12
cry,2
haleyyy_lynnnn,2
first,2
ride,21
sixflags,7
freightfest,4
halloweennight,2
bestnightever,2
5kj8uobshn,2
buelrkidd,2
ya,4
ll,4
females,4
need,4
chill,4
eyebrows,4
longer,4
drop,6
posted,2
photo,2
magic,13
mountain,13
bu6xe3suyd,2
ghost,2
tweaking,2
park,2
noooo,2
time,2
teqem0cdeq,2
m,2
scurred,4
roller,6
coaster,10
barely,2
able,2
without,2
freaking,2
nik,2
wallenda,2
gets,2
mvp,2
award,2
skyscraperlive,2
rip,2
iq1hmpeuyi,2
jesus,2
give,2
strength,2
rollercoaster,2
georgia,2
o86f3hjiva,2
magicmountain,6
ka1iv86rpb,2
fucktyler,2
jasperdolphin,2
everyone,2
jasper,2
today,6
came,2
rides,2
us,2
come,2
__matalyn,2
cool,2
really,2
want,2
visit,2
point,2
cali,2
thats,2
dream,2
froze,2
fucking,2
ass,2
little,2
brother,2
fun,2
cod,2
event,2
rode,4
front,3
row,2
twice,2
unveils,2
record,2
breaking,2
guauhofmst,2
going,2
tomorrow,2
since,2
last,2
day,4
finally,4
d,2
rather,2
see,2
uobssrlrmx,2
cold,2
face,2
halloween2k14,2
neveragain,2
hjwmxstu1t,2
best,7
big,2
p8emkrl2uj,2
love,2
bitch,2
jajajaaaj,2
lijimqprl7,2
6flags,2
i8c0ijdcv6,2
bust,2
x2,2
tatsu,2
closed,2
full,2
throttle,2
left,2
frightfest,2
okay,2
jealous,2
3,2
line,6
isn,2
even,4
bad,2
xd,2
got,2
wasn,2
scary,2
happy,2
sfgreat_america,5
https,2
l3vj07ehi5,2
a2xwsknwem,2
guys,2
haven,4
gotten,2
get,4
asses,2
mother,2
fucker,2
hoes,2
lmao,2
tojhb3qvlw,2
liked,2
youtube,3
video,2
a3w9zvrrpt,2
official,2
pov,3
greyorngblknblu,2
othgreyslove,2
oncegrey03,2
spookyniehaus,2
im,2
new,6
soooo,2
funnn,2
decent,2
u,4
make,2
sure,2
margyreilly,2
dindootod,2
klzu5wb66w,2
ciankell975,2
live,2
illinois,2
period,2
newengland,1
boston,2
vsco,1
vscocam,1
travel,1
england,1
ma,1
pjleue8ull,1
world,1
coolest,1
tourist,1
attractions,1
8,1
chicago,1
coney,1
hro0jjwvmr,1
tbt,1
chick,1
died,1
scarystuff,1
dqsfbficd8,1
easily,1
wild,1
age,1
woodie,1
bmrbvtprdf,1
doubt,1
giant,1
qcqxqrfxse,1
via,1
