name,count
excited,2
first,4
new,2
love,11
scared,2
ready,1
good,2
decided,1
sympathy,1
big,3
fun,7
blessed,1
anxiety,1
mean,2
pretty,1
cool,1
still,5
nice,6
safe,1
loved,1
done,2
better,3
real,4
strong,2
perfect,1
agape,2
feeling,1
confused,1
ridden,2
lost,1
nervous,1
fine,1
loud,2
awesome,6
old,1
changed,1
poorly,1
okay,4
hope,5
lucky,1
kind,1
loop,1
waste,1
jealous,1
super,1
smooth,1
close,1
sick,2
legal,1
liked,4
lax,1
alone,1
angry,1
little,1
cute,1
scarred,1
disappointed,1
fast,1
sure,1
depressed,1
special,1
despicable,1
forbidden,2
black,1
sad,1
bad,1
significant,1
late,1
nothing,1
