name,count
northern,1
lights,3
surround,1
mountain,157
stunning,1
new,5
photo,3
mtaylor_photo,1
http,56
co,63
jkerr3hehn,1
vfcjfbnw3p,1
taking,3
business,3
calls,3
space,153
4kospweyle,2
purple,2
aurora,2
borealis,2
hits,2
goodmorning,2
https,7
wlrjn31w33,2
arnar,2
valdimarsson,2
tstra58iwz,2
thunder,4
matterhorn,1
big,3
hero,1
6,1
preview,1
churro,2
hour,1
half,1
ride,15
lol,1
jk,1
barrrredout,1
kristincarreno,1
waiting,3
line,5
65qaz6mkwl,1
jabba,9
hutt,9
huge,9
zit,9
lucas,11
museum,10
divides,9
chicago,9
sa6dvxwpei,1
34v4faiihw,1
oysvakfpur,1
won,1
go,11
maddie,1
drphil,1
asksuzanne,1
lkncxpvm3g,1
reopened,1
approximately,2
9,3
20,2
pm,2
went,4
today,3
w1hkqh8gtg,1
reported,1
closed,2
15,3
scared,3
af,1
gillyarcht,1
markasaurus,1
m,12
also,1
5umckipadc,1
hierve,1
el,1
agua,1
selfie,2
oaxaca,1
oaxacaculture,1
infinity,1
pool,1
zapotec,1
sacred,1
calcium,1
hotsprings,1
wucdtcwbme,1
amp,1
rock,1
n,1
roller,5
coaster,3
ldr,1
longdistance,1
distance,1
relationship,1
couples,1
ldrlove,1
teamld,1
tw29ud24go,1
wanna,1
right,3
dmurf625,1
danielleinzano,1
becomes,1
official,1
babe,1
going,6
disney,12
every,2
week,2
watch,1
fireworks,1
melokia2115,1
haha,1
would,2
lazy,1
search,1
missed,1
david_wakim,2
worst,1
california,3
best,1
time,6
got,3
stuck,1
inside,1
see,3
walk,1
insidedisney,1
reaganjohanson,1
five,1
times,2
row,1
anything,1
else,1
idec,1
patriarchhunter,1
small,1
smile,1
good,2
cuz,1
thinking,1
broke,1
awesome,5
front,1
closes,1
one,3
thing,1
pass,1
low,1
wait,5
ddxuaxe8gi,1
alexanderdeleon,2
fun,2
bet,1
love,2
liquored,1
woohoo,1
shit,1
geoffsheen760,1
didn,1
flight,1
ric,1
flair,1
multiple,1
broads,1
study,1
woooo,1
waltdisneyworld,4
lake,3
buena,3
vista,3
fl,3
ad0orieetq,1
rode,1
twice,1
operator,1
twp,1
ryanpastorino,1
woo,1
farmed,1
salmon,1
aldo,1
poo,1
sodapoppintv,1
fucking,1
jesus,1
legendaryleatv,1
matthewjkgaming,1
celest565,1
andreyyanyuk,1
re0lbzs7rk,1
spacepoppin,1
lmao,1
driving,2
music,1
playing,1
mom,1
fast,1
christinaperri,1
need,1
disneyland,11
trip,1
life,1
ve,3
deprived,1
lately,2
could,1
kylie,1
massive,1
rollercoaster,1
pitch,1
black,1
paris,1
10,2
heh,1
still,1
tvs,1
showing,1
promotional,1
videos,1
straight,1
early,1
90s,1
moon,1
peterlovessarah,1
n5fylwqli1,1
jordanquatt,1
8wcsfq8qns,1
jobs,3
director,1
customer,1
engagement,1
utility,1
ca,4
view,4
cybercoders,1
matching,1
grea,1
a4a4tugo20,1
tq3yl7uehg,1
look,2
lakefront,2
severely,1
lacking,1
photos,1
let,3
change,1
yzrbityb0j,1
7kr8a7pnrz,1
volcano,2
flying,1
saucer,1
landing,1
oh,1
9skbc0x0sg,1
ig,1
findingwaltdisney,1
fell,1
asleep,1
ll,1
waltdisney,1
dis,1
f2hxj8ejbl,1
disneyworld,4
ougpezmva8,1
quillypen,2
wanted,1
sooo,1
badly,1
forever,1
kinda,2
jerky,3
coasters,3
thought,3
uncomfortable,1
hope,2
getting,2
old,2
always,1
loved,1
soundtrack,1
sound,1
track,1
appreciate,1
groove,1
totally,1
different,3
way,1
headphones,1
wu6up3lc6c,1
syk9ngrm6q,1
flappuccino,1
world,6
without,2
chance,2
til,1
dizzy,2
stand,2
cpsj,1
min,1
standby,1
fuck,1
yeah,1
anaheim,1
jmbyvyanow,1
carlyqromalino,1
verge,1
looks,1
like,3
survived,1
rmujl7n4so,1
madness,1
imagination,1
35,1
minute,4
coming,1
theorionslave,2
megoland,1
pirates,1
tower,1
terror,1
second,1
last,1
hate,1
might,1
well,2
leave,1
bra,1
unsnapped,1
ok,1
mylife,1
indiana,1
jones,1
star,4
tours,1
bloodlegion,1
artemishowl,1
brightleafz,1
dyveriate,1
ataxusbl,1
xyroniclol,1
affinitiibl,1
shinafae,1
lo4unmx1qr,1
twitter,1
reacts,1
sf,1
passed,1
rpy9zefkjl,1
via,1
curbedsf,1
vqhlcbbq0c,1
fxig3ifhin,1
jake,2
gyllenhaal,1
believes,1
brokeback,1
lives,1
m8i1ge4q4i,1
smells,1
toilet,1
epilepsyawarenessday,1
631kayqjm1,1
mission,2
2,4
an06umpszd,1
le,1
de,1
gand,1
vaped,1
gang,1
talkhoops,1
though,2
juustinlamyo,1
bruh,1
goes,1
cerau17,1
true,1
re,2
forgetting,1
never,1
gets,1
cadet,1
teddy,1
reporting,1
duty,1
irsvoqfr40,1
jcervantezzz,1
splash,2
teenisles,1
build,1
car,1
test,1
brilliant,1
buzz,1
lightyear,1
shooting,1
jamesjawa,3
takes,1
complex,1
opened,1
may,1
27,1
1977,1
grnzvydntg,1
john,1
christina,1
uis6o8gqow,1
made,1
connected,1
exactly,1
anyway,1
priscocbs,1
together,1
something,2
bury,1
hatchet,1
tbt,3
tricking,1
gavin,1
onto,1
missing,1
guys,1
little,1
usual,1
zgcbue2t5q,1
trippy,1
stemeyer,1
coloradoan,1
xplorenoco,1
guessing,1
red,1
open,2
listening,2
song,1
michael,1
giacchino,1
makes,2
moment,2
epic,1
composition,1
planner,2
manager,2
94035,2
usa,2
yyercw90np,1
4liiphwc0t,1
wars,3
rejectedstarwarstitles,4
scary,1
dmsvqfsdps,1
miss,1
adrenaline,1
junkie,1
bad,1
everest,1
rocknroller,1
hours,1
disappointed,1
finally,1
even,1
shes,1
afraid,2
dark,1
heights,1
booked,1
cleaner,1
come,2
jenna,1
rileytayy,1
d,2
heaven,1
stewgleadow,1
idea,1
steraa214,1
seven,1
dwarves,1
zaldor,1
vii,1
8zj95jlumi,1
kathryn,1
jmboatman,1
hfneejixdj,1
5s7gm0iajz,1
th9bwekupz,1
mariela2195,1
fall,1
wivesroundtable,1
programme,1
marriage,1
giving,1
break,1
nt,1
ideal,1
face,2
wit,1
god,2
ur,1
side,1
victory,1
grmartin,1
applecidermage,1
queentrashmouth,1
know,2
dl,1
two,1
much,1
hokage,1
episod,1
held,1
says,1
food,1
movie,1
finished,1
please,2
send,1
help,2
attack,1
summer,1
spacemountain,3
ppn9ofjoxl,1
took,1
c6cfp1uxrn,1
book,1
single,1
cock,1
man,1
minnie,1
mouse,1
probably,1
blew,1
thecoopertom,1
remember,1
young,1
thrill,2
vein,1
x,1
anyone,1
needs,1
office,1
scv,1
amazing,1
magic,1
close,1
freeway,1
emn2odlbbv,1
1975,1
wonderful,1
airs,1
welcome,1
show,1
celebrates,1
opening,1
mk,1
barista_of_doom,1
favorite,1
sure,1
brb,1
gudb6x29ik,1
jumped,1
60,1
wish,1
luck,1
tomorrowland,1
solocoastering,1
irkghrxjjb,1
harry_styles,1
boys,2
orlando,1
work,1
riding,1
daft,1
punk,1
contact,1
highly,1
recommend,1
longest,1
ever,1
omg,1
bitch,1
x03zj1co9d,1
found,1
bae,1
jwwcbafpzh,1
mistake,1
florida,1
rid,1
regular,1
fastpass,1
better,1
zcal1aly86,1
plans,1
reincarnation,1
failed,1
become,1
therefore,1
became,1
y,1
gbahcspdez,1
vestlet,1
team,1
another,1
listing,1
3br,1
2ba,1
loads,1
stone,1
listed,1
80,1
000,1
6kcrpbrg1p,1
epilepsy,1
awareness,1
day,1
event,1
screams,1
trouble,1
paulkappel,1
chocolate,1
navy,1
pier,1
ferris,1
wheel,1
call,2
say,1
lots,1
amusement,1
viewing,1
sunrise,1
plaza,1
lease,2
o6dge1rubm,1
k,1
mart,1
anchored,1
center,1
available,1
702,1
362,1
4144,1
weeks,1
believe,1
ass,1
gonna,1
sitting,1
screaming,1
motha,1
fuckin,1
head,1
e2q4g9rbde,1
attraction,1
back,1
current,1
queue,1
5,1
minutes,1
dlp,1
